fotonummer,boom_naam,lokalisatie_label,optionele_detailfoto,lat_manueel,lon_manueel
DSC00843,Populier,"KBW-park fase II, links van de vijver",geen,,
DSC00846,Paardenkastanje,"KBW-park fase II, vlak voor de brug, ad linkerkant",DSC00847,,
DSC00848,Esdoorn,"KBW-park fase II, net over de brug, ad linkerkant",DSC00849,,
DSC00858,Cipres,"KBW-park fase II, op het grasveld, rechts vd vijver",DSC00857,,
DSC00871,Hazelaar,"KBW-park fase III, langs de weide nabij het voetbalveld",geen,,
DSC00872,Iep,"KBW-park fase III, onderaan het Poelbos",geen,,
DSC00875,Haagbeuk,"KBW-park fase III, langs de weide tgo. de kinderboerderij",geen,,
DSC00883,Kerselaar,"KBW-park fase III, onderaan de hondenweide",DSC00885,,
DSC00887,Es ,"KBW-park fase III, doorsteek links v hondenweide",DSC00888,,
DSC00894,Taxus,"KBW-park fase III, vlak vóór grasveld met chalet",DSC00896,,
DSC00909,Linde,"KBW-park fase III, links op grasveld voor de chalet",DSC00903,,
DSC00917,Eik,"Laarbeekbos, links vd chalet",geen,,
DSC00921,Beuk,"Laarbeekbos, net voorbij de slagboom",geen,,
DSC00881,Berk,"KBW-park fase III, bij afbuigen naar rechts richting spoorweg",geen,,
DSC00930,Wilg,"KBW-park fase III, langs de spoorweg",geen,,
DSC00936,Els,"KBW-park fase III, langs de Molenbeek",DSC00937,,
